country,apr2_tariff_pct,apr9_status,source_url,notes
Algeria,30,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Angola,32,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Argentina,10,unchanged,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,"Not mentioned in EO 14257 Annex I, so the universal 10% baseline applied from Apr 5, 2025. The Apr 9 suspension replaced Annex I rates with that same 10%, so this country's rate did not change."
Australia,10,unchanged,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,"Not mentioned in EO 14257 Annex I, so the universal 10% baseline applied from Apr 5, 2025. The Apr 9 suspension replaced Annex I rates with that same 10%, so this country's rate did not change."
Austria,20,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,part of European Union (EU)
Bangladesh,37,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Belarus,0,unchanged,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf,Excluded from EO 14257 (HTS Column 2 country). No reciprocal tariff and no 10% baseline imposed.
Belgium,20,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,part of European Union (EU)
Bosnia and Herzegovina,35,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Botswana,37,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Brazil,10,unchanged,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,"Not mentioned in EO 14257 Annex I, so the universal 10% baseline applied from Apr 5, 2025. The Apr 9 suspension replaced Annex I rates with that same 10%, so this country's rate did not change."
Brunei,24,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Bulgaria,20,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,part of European Union (EU)
Cambodia,49,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Cameroon,11,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Canada,0,unchanged,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/02/07/2025-02406/imposing-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border,"Excluded from EO 14257: no reciprocal tariff and no 10% baseline. Remained under the separate Feb 1, 2025 IEEPA border order at 25% on non-USMCA-originating goods"
Chad,13,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
